timestamp,filename,simulation,replica,pos_threshold,neg_threshold,load_time_ms,render_time_ms,avg_fps,memory_heap_mb,visible_points
2026-04-18T03:20:41.596Z,dccm_data_25.bin,asp294his,Rep_1,0.1,0.1,293.40,21845.30,0,3280.65, 25444432
2026-04-18T03:20:45.214Z,dccm_data_25.bin,asp294his,Rep_1,0.3,0.3,293.40,2513.80,24.7,2325.59, 7040964
2026-04-18T03:21:01.108Z,dccm_data_25.bin,asp294his,Rep_1,0.5,0.5,293.40,721.20,46.1,1615.52, 1947178
2026-04-18T03:21:16.478Z,dccm_data_25.bin,asp294his,Rep_1,0.7,0.7,293.40,369.40,58.3,1250.40, 792168
2026-04-18T03:21:31.707Z,dccm_data_25.bin,asp294his,Rep_1,0.9,0.9,293.40,195.80,59.2,1285.57, 165934
2026-04-18T03:21:57.241Z,dccm_data_50.bin,asp294his,Rep_1,0.1,0.1,193.50,10333.40,30.9,1822.22, 12428874
2026-04-18T03:22:02.661Z,dccm_data_50.bin,asp294his,Rep_1,0.3,0.3,193.50,944.30,37.0,1638.41, 3360110
2026-04-18T03:22:17.979Z,dccm_data_50.bin,asp294his,Rep_1,0.5,0.5,193.50,316.50,57.7,975.94, 995898
2026-04-18T03:22:33.168Z,dccm_data_50.bin,asp294his,Rep_1,0.7,0.7,193.50,187.90,59.3,858.17, 424388
2026-04-18T03:22:48.280Z,dccm_data_50.bin,asp294his,Rep_1,0.9,0.9,193.50,106.60,59.7,723.36, 85500
2026-04-18T03:23:08.955Z,dccm_data_100.bin,asp294his,Rep_1,0.1,0.1,74.30,5597.60,35.5,1086.97, 6231886
2026-04-18T03:23:18.967Z,dccm_data_100.bin,asp294his,Rep_1,0.3,0.3,74.30,488.30,51.9,1067.90, 1782294
2026-04-18T03:23:34.142Z,dccm_data_100.bin,asp294his,Rep_1,0.5,0.5,74.30,174.60,59.4,631.92, 555396
2026-04-18T03:23:49.250Z,dccm_data_100.bin,asp294his,Rep_1,0.7,0.7,74.30,104.70,59.7,516.53, 233700
2026-04-18T03:24:04.300Z,dccm_data_100.bin,asp294his,Rep_1,0.9,0.9,74.30,49.60,59.9,521.19, 46052
2026-04-18T03:24:23.083Z,dccm_data_200.bin,asp294his,Rep_1,0.1,0.1,64.10,3715.80,48.0,689.24, 3146268
2026-04-18T03:24:34.604Z,dccm_data_200.bin,asp294his,Rep_1,0.3,0.3,64.10,254.50,58.6,576.68, 934922
2026-04-18T03:24:49.696Z,dccm_data_200.bin,asp294his,Rep_1,0.5,0.5,64.10,91.20,59.8,465.95, 297326
2026-04-18T03:25:04.752Z,dccm_data_200.bin,asp294his,Rep_1,0.7,0.7,64.10,55.40,59.9,398.56, 125460
2026-04-18T03:25:19.788Z,dccm_data_200.bin,asp294his,Rep_1,0.9,0.9,64.10,36.00,59.9,380.22, 24940
2026-04-18T03:25:37.345Z,dccm_data_400.bin,asp294his,Rep_1,0.1,0.1,27.70,2526.30,59.0,529.37, 1623056
2026-04-18T03:25:49.937Z,dccm_data_400.bin,asp294his,Rep_1,0.3,0.3,27.70,145.60,59.5,493.32, 524368
2026-04-18T03:26:04.998Z,dccm_data_400.bin,asp294his,Rep_1,0.5,0.5,27.70,60.90,59.9,364.87, 170146
2026-04-18T03:26:20.032Z,dccm_data_400.bin,asp294his,Rep_1,0.7,0.7,27.70,34.00,59.9,341.83, 69076
2026-04-18T03:26:35.054Z,dccm_data_400.bin,asp294his,Rep_1,0.9,0.9,27.70,20.40,60.0,334.00, 14180
2026-04-18T03:26:52.152Z,dccm_data_800.bin,asp294his,Rep_1,0.1,0.1,25.70,2069.40,59.1,376.03, 799760
2026-04-18T03:27:05.130Z,dccm_data_800.bin,asp294his,Rep_1,0.3,0.3,25.70,73.40,59.8,394.36, 276184
2026-04-18T03:27:20.164Z,dccm_data_800.bin,asp294his,Rep_1,0.5,0.5,25.70,32.70,60.0,323.83, 94076
2026-04-18T03:27:35.183Z,dccm_data_800.bin,asp294his,Rep_1,0.7,0.7,25.70,18.40,60.0,293.95, 36686
2026-04-18T03:27:50.196Z,dccm_data_800.bin,asp294his,Rep_1,0.9,0.9,25.70,12.20,60.0,296.98, 7844
2026-04-18T03:28:06.917Z,dccm_data_1600.bin,asp294his,Rep_1,0.1,0.1,8.80,1709.20,55.7,377.04, 433374
2026-04-18T03:28:20.253Z,dccm_data_1600.bin,asp294his,Rep_1,0.3,0.3,8.80,54.40,59.9,364.52, 182518
2026-04-18T03:28:35.276Z,dccm_data_1600.bin,asp294his,Rep_1,0.5,0.5,8.80,21.90,60.0,293.84, 62242
2026-04-18T03:28:50.286Z,dccm_data_1600.bin,asp294his,Rep_1,0.7,0.7,8.80,9.90,60.0,295.02, 24214
2026-04-18T03:29:05.291Z,dccm_data_1600.bin,asp294his,Rep_1,0.9,0.9,8.80,5.10,60.0,293.71, 5236
2026-04-18T03:29:42.152Z,dccm_data_25.bin,asp294his,Rep_2,0.1,0.1,345.30,21512.50,0,2942.30, 24777138
2026-04-18T03:29:45.321Z,dccm_data_25.bin,asp294his,Rep_2,0.3,0.3,345.30,2025.40,29.8,2466.62, 6285404
2026-04-18T03:30:01.132Z,dccm_data_25.bin,asp294his,Rep_2,0.5,0.5,345.30,635.50,47.0,1533.16, 1665524
2026-04-18T03:30:16.473Z,dccm_data_25.bin,asp294his,Rep_2,0.7,0.7,345.30,340.00,58.8,1205.58, 669922
2026-04-18T03:30:31.683Z,dccm_data_25.bin,asp294his,Rep_2,0.9,0.9,345.30,195.60,59.3,1235.14, 146016
2026-04-18T03:30:56.917Z,dccm_data_50.bin,asp294his,Rep_2,0.1,0.1,379.40,9847.90,25.9,1859.37, 11873472
2026-04-18T03:31:02.518Z,dccm_data_50.bin,asp294his,Rep_2,0.3,0.3,379.40,828.00,39.6,1727.24, 2818664
2026-04-18T03:31:17.836Z,dccm_data_50.bin,asp294his,Rep_2,0.5,0.5,379.40,277.70,57.1,939.81, 825260
2026-04-18T03:31:33.007Z,dccm_data_50.bin,asp294his,Rep_2,0.7,0.7,379.40,170.90,59.4,765.33, 350038
2026-04-18T03:31:48.117Z,dccm_data_50.bin,asp294his,Rep_2,0.9,0.9,379.40,105.40,59.7,714.98, 72814
2026-04-18T03:32:08.894Z,dccm_data_100.bin,asp294his,Rep_2,0.1,0.1,247.60,5525.80,40.1,1071.71, 5821766
2026-04-18T03:32:18.718Z,dccm_data_100.bin,asp294his,Rep_2,0.3,0.3,247.60,451.40,56.1,988.30, 1376616
2026-04-18T03:32:33.864Z,dccm_data_100.bin,asp294his,Rep_2,0.5,0.5,247.60,144.10,59.5,600.99, 424974
2026-04-18T03:32:48.958Z,dccm_data_100.bin,asp294his,Rep_2,0.7,0.7,247.60,93.60,59.7,509.99, 186290
2026-04-18T03:33:04.018Z,dccm_data_100.bin,asp294his,Rep_2,0.9,0.9,247.60,59.10,59.9,495.85, 36938
2026-04-18T03:33:22.585Z,dccm_data_200.bin,asp294his,Rep_2,0.1,0.1,157.20,3407.30,49.9,677.57, 2934060
2026-04-18T03:33:34.259Z,dccm_data_200.bin,asp294his,Rep_2,0.3,0.3,157.20,213.20,58.8,555.09, 724462
2026-04-18T03:33:49.334Z,dccm_data_200.bin,asp294his,Rep_2,0.5,0.5,157.20,74.50,59.8,572.83, 231836
2026-04-18T03:34:04.384Z,dccm_data_200.bin,asp294his,Rep_2,0.7,0.7,157.20,50.10,59.9,385.16, 100500
2026-04-18T03:34:19.418Z,dccm_data_200.bin,asp294his,Rep_2,0.9,0.9,157.20,33.70,60.0,376.33, 19272
2026-04-18T03:34:36.922Z,dccm_data_400.bin,asp294his,Rep_2,0.1,0.1,67.20,2433.90,54.4,497.30, 1472396
2026-04-18T03:34:49.524Z,dccm_data_400.bin,asp294his,Rep_2,0.3,0.3,67.20,102.80,59.7,443.35, 384932
2026-04-18T03:35:04.570Z,dccm_data_400.bin,asp294his,Rep_2,0.5,0.5,67.20,45.20,59.9,375.01, 129562
2026-04-18T03:35:19.600Z,dccm_data_400.bin,asp294his,Rep_2,0.7,0.7,67.20,29.40,60.0,331.43, 54844
2026-04-18T03:35:34.620Z,dccm_data_400.bin,asp294his,Rep_2,0.9,0.9,67.20,19.90,60.0,331.91, 10176
2026-04-18T03:35:51.654Z,dccm_data_800.bin,asp294his,Rep_2,0.1,0.1,53.00,1977.50,59.1,441.90, 723440
2026-04-18T03:36:04.684Z,dccm_data_800.bin,asp294his,Rep_2,0.3,0.3,53.00,61.00,59.9,384.24, 203818
2026-04-18T03:36:19.711Z,dccm_data_800.bin,asp294his,Rep_2,0.5,0.5,53.00,26.80,60.0,311.97, 72572
2026-04-18T03:36:34.729Z,dccm_data_800.bin,asp294his,Rep_2,0.7,0.7,53.00,16.90,60.0,313.92, 29984
2026-04-18T03:36:49.741Z,dccm_data_800.bin,asp294his,Rep_2,0.9,0.9,53.00,11.90,60.0,288.59, 5494
2026-04-18T03:37:06.551Z,dccm_data_1600.bin,asp294his,Rep_2,0.1,0.1,30.80,1776.90,55.8,345.77, 379528
2026-04-18T03:37:19.784Z,dccm_data_1600.bin,asp294his,Rep_2,0.3,0.3,30.80,40.30,60.0,322.33, 123544
2026-04-18T03:37:34.800Z,dccm_data_1600.bin,asp294his,Rep_2,0.5,0.5,30.80,16.00,60.0,318.03, 44494
2026-04-18T03:37:49.812Z,dccm_data_1600.bin,asp294his,Rep_2,0.7,0.7,30.80,11.00,60.0,290.45, 18344
2026-04-18T03:38:04.817Z,dccm_data_1600.bin,asp294his,Rep_2,0.9,0.9,30.80,4.40,60.0,288.94, 3286
2026-04-18T03:38:42.919Z,dccm_data_25.bin,asp294his,Rep_3,0.1,0.1,324.10,22776.10,0,3144.41, 25561856
2026-04-18T03:38:46.788Z,dccm_data_25.bin,asp294his,Rep_3,0.3,0.3,324.10,2531.00,21.5,2470.83, 7237742
2026-04-18T03:39:02.737Z,dccm_data_25.bin,asp294his,Rep_3,0.5,0.5,324.10,724.80,47.4,1646.58, 2003042
2026-04-18T03:39:18.093Z,dccm_data_25.bin,asp294his,Rep_3,0.7,0.7,324.10,356.20,58.1,1316.34, 783724
2026-04-18T03:39:33.331Z,dccm_data_25.bin,asp294his,Rep_3,0.9,0.9,324.10,214.40,59.1,1190.55, 162468
2026-04-18T03:39:59.008Z,dccm_data_50.bin,asp294his,Rep_3,0.1,0.1,444.00,10227.20,26.9,1802.79, 12356906
2026-04-18T03:40:04.539Z,dccm_data_50.bin,asp294his,Rep_3,0.3,0.3,444.00,941.20,42.1,1648.05, 3349972
2026-04-18T03:40:19.902Z,dccm_data_50.bin,asp294his,Rep_3,0.5,0.5,444.00,362.30,58.2,1012.79, 986228
2026-04-18T03:40:35.127Z,dccm_data_50.bin,asp294his,Rep_3,0.7,0.7,444.00,189.50,59.3,769.20, 410792
2026-04-18T03:40:50.238Z,dccm_data_50.bin,asp294his,Rep_3,0.9,0.9,444.00,111.10,59.7,720.39, 81450
2026-04-18T03:41:11.199Z,dccm_data_100.bin,asp294his,Rep_3,0.1,0.1,254.60,5701.50,31.9,1078.06, 6129850
2026-04-18T03:41:20.872Z,dccm_data_100.bin,asp294his,Rep_3,0.3,0.3,254.60,476.20,52.6,1068.09, 1683960
2026-04-18T03:41:36.043Z,dccm_data_100.bin,asp294his,Rep_3,0.5,0.5,254.60,171.00,59.4,623.71, 533296
2026-04-18T03:41:51.144Z,dccm_data_100.bin,asp294his,Rep_3,0.7,0.7,254.60,100.70,59.7,528.97, 228254
2026-04-18T03:42:06.204Z,dccm_data_100.bin,asp294his,Rep_3,0.9,0.9,254.60,58.70,59.9,500.65, 43004
2026-04-18T03:42:24.818Z,dccm_data_200.bin,asp294his,Rep_3,0.1,0.1,112.40,3498.50,46.2,695.46, 3111652
2026-04-18T03:42:36.461Z,dccm_data_200.bin,asp294his,Rep_3,0.3,0.3,112.40,254.00,59.0,518.85, 899380
2026-04-18T03:42:51.546Z,dccm_data_200.bin,asp294his,Rep_3,0.5,0.5,112.40,84.40,59.8,559.02, 285984
2026-04-18T03:43:06.603Z,dccm_data_200.bin,asp294his,Rep_3,0.7,0.7,112.40,54.20,59.9,394.54, 120688
2026-04-18T03:43:21.637Z,dccm_data_200.bin,asp294his,Rep_3,0.9,0.9,112.40,33.80,60.0,378.27, 22946
2026-04-18T03:43:39.159Z,dccm_data_400.bin,asp294his,Rep_3,0.1,0.1,58.00,2461.20,54.9,465.12, 1562948
2026-04-18T03:43:51.766Z,dccm_data_400.bin,asp294his,Rep_3,0.3,0.3,58.00,125.40,59.5,496.51, 483378
2026-04-18T03:44:06.822Z,dccm_data_400.bin,asp294his,Rep_3,0.5,0.5,58.00,55.60,59.9,395.76, 160194
2026-04-18T03:44:21.854Z,dccm_data_400.bin,asp294his,Rep_3,0.7,0.7,58.00,31.50,59.9,337.48, 65558
2026-04-18T03:44:36.874Z,dccm_data_400.bin,asp294his,Rep_3,0.9,0.9,58.00,19.60,60.0,334.89, 12660
2026-04-18T03:44:53.964Z,dccm_data_800.bin,asp294his,Rep_3,0.1,0.1,37.20,2051.00,56.1,404.36, 772692
2026-04-18T03:45:06.946Z,dccm_data_800.bin,asp294his,Rep_3,0.3,0.3,37.20,69.50,59.9,385.21, 253938
2026-04-18T03:45:21.976Z,dccm_data_800.bin,asp294his,Rep_3,0.5,0.5,37.20,29.80,60.0,320.32, 83658
2026-04-18T03:45:36.992Z,dccm_data_800.bin,asp294his,Rep_3,0.7,0.7,37.20,16.10,60.0,317.67, 33254
2026-04-18T03:45:52.004Z,dccm_data_800.bin,asp294his,Rep_3,0.9,0.9,37.20,10.90,60.0,291.53, 6684
2026-04-18T03:46:08.853Z,dccm_data_1600.bin,asp294his,Rep_3,0.1,0.1,32.10,1814.70,55.4,387.86, 394658
2026-04-18T03:46:22.048Z,dccm_data_1600.bin,asp294his,Rep_3,0.3,0.3,32.10,42.40,59.9,325.46, 137310
2026-04-18T03:46:37.069Z,dccm_data_1600.bin,asp294his,Rep_3,0.5,0.5,32.10,19.70,60.0,286.39, 45260
2026-04-18T03:46:52.080Z,dccm_data_1600.bin,asp294his,Rep_3,0.7,0.7,32.10,10.60,60.0,291.42, 17746
2026-04-18T03:47:07.085Z,dccm_data_1600.bin,asp294his,Rep_3,0.9,0.9,32.10,4.60,60.0,289.89, 3800
2026-04-18T03:47:43.884Z,dccm_data_25.bin,asp294his,Rep_4,0.1,0.1,910.60,20886.50,0,3119.99, 24259966
2026-04-18T03:47:46.702Z,dccm_data_25.bin,asp294his,Rep_4,0.3,0.3,910.60,1696.60,31.4,2831.62, 5815054
2026-04-18T03:48:02.393Z,dccm_data_25.bin,asp294his,Rep_4,0.5,0.5,910.60,667.90,48.1,1494.32, 1653582
2026-04-18T03:48:17.736Z,dccm_data_25.bin,asp294his,Rep_4,0.7,0.7,910.60,343.10,58.8,1295.76, 712398
2026-04-18T03:48:32.963Z,dccm_data_25.bin,asp294his,Rep_4,0.9,0.9,910.60,212.60,59.3,1183.86, 151808
2026-04-18T03:48:58.294Z,dccm_data_50.bin,asp294his,Rep_4,0.1,0.1,436.80,9883.80,28.7,1693.39, 11519430
2026-04-18T03:49:03.780Z,dccm_data_50.bin,asp294his,Rep_4,0.3,0.3,436.80,806.60,40.5,1380.56, 2575942
2026-04-18T03:49:19.104Z,dccm_data_50.bin,asp294his,Rep_4,0.5,0.5,436.80,322.60,58.2,826.46, 818986
2026-04-18T03:49:34.280Z,dccm_data_50.bin,asp294his,Rep_4,0.7,0.7,436.80,175.30,59.4,867.99, 372392
2026-04-18T03:49:49.389Z,dccm_data_50.bin,asp294his,Rep_4,0.9,0.9,436.80,109.50,59.6,716.69, 76438
2026-04-18T03:50:10.138Z,dccm_data_100.bin,asp294his,Rep_4,0.1,0.1,182.20,5560.90,38.4,992.90, 5685590
2026-04-18T03:50:20.004Z,dccm_data_100.bin,asp294his,Rep_4,0.3,0.3,182.20,438.10,56.2,861.22, 1301410
2026-04-18T03:50:35.154Z,dccm_data_100.bin,asp294his,Rep_4,0.5,0.5,182.20,149.60,59.5,589.76, 428978
2026-04-18T03:50:50.248Z,dccm_data_100.bin,asp294his,Rep_4,0.7,0.7,182.20,94.40,59.7,518.79, 200464
2026-04-18T03:51:05.307Z,dccm_data_100.bin,asp294his,Rep_4,0.9,0.9,182.20,58.40,59.9,498.06, 39924
2026-04-18T03:51:23.977Z,dccm_data_200.bin,asp294his,Rep_4,0.1,0.1,150.20,3514.40,49.6,768.53, 2851690
2026-04-18T03:51:35.555Z,dccm_data_200.bin,asp294his,Rep_4,0.3,0.3,150.20,198.10,58.7,643.16, 675992
2026-04-18T03:51:50.637Z,dccm_data_200.bin,asp294his,Rep_4,0.5,0.5,150.20,81.50,59.7,438.84, 224398
2026-04-18T03:52:05.692Z,dccm_data_200.bin,asp294his,Rep_4,0.7,0.7,150.20,52.90,59.9,388.48, 106884
2026-04-18T03:52:20.727Z,dccm_data_200.bin,asp294his,Rep_4,0.9,0.9,150.20,34.10,60.0,393.31, 21008
2026-04-18T03:52:38.209Z,dccm_data_400.bin,asp294his,Rep_4,0.1,0.1,68.20,2411.10,58.4,526.03, 1440490
2026-04-18T03:52:50.832Z,dccm_data_400.bin,asp294his,Rep_4,0.3,0.3,68.20,101.60,59.7,447.20, 355546
2026-04-18T03:53:05.877Z,dccm_data_400.bin,asp294his,Rep_4,0.5,0.5,68.20,45.00,59.9,343.06, 117356
2026-04-18T03:53:20.906Z,dccm_data_400.bin,asp294his,Rep_4,0.7,0.7,68.20,28.20,60.0,329.04, 57064
2026-04-18T03:53:35.924Z,dccm_data_400.bin,asp294his,Rep_4,0.9,0.9,68.20,18.00,60.0,324.16, 11090
2026-04-18T03:53:52.898Z,dccm_data_800.bin,asp294his,Rep_4,0.1,0.1,38.90,1933.30,56.2,369.34, 689374
2026-04-18T03:54:05.980Z,dccm_data_800.bin,asp294his,Rep_4,0.3,0.3,38.90,53.50,59.9,360.83, 175030
2026-04-18T03:54:21.005Z,dccm_data_800.bin,asp294his,Rep_4,0.5,0.5,38.90,24.00,60.0,302.49, 58204
2026-04-18T03:54:36.021Z,dccm_data_800.bin,asp294his,Rep_4,0.7,0.7,38.90,16.00,60.0,297.99, 28998
2026-04-18T03:54:51.029Z,dccm_data_800.bin,asp294his,Rep_4,0.9,0.9,38.90,8.00,60.0,298.67, 5678
2026-04-18T03:55:07.780Z,dccm_data_1600.bin,asp294his,Rep_4,0.1,0.1,27.90,1720.70,55.9,334.00, 347036
2026-04-18T03:55:21.065Z,dccm_data_1600.bin,asp294his,Rep_4,0.3,0.3,27.90,32.70,60.0,312.61, 95526
2026-04-18T03:55:36.077Z,dccm_data_1600.bin,asp294his,Rep_4,0.5,0.5,27.90,11.50,60.0,298.45, 33292
2026-04-18T03:55:51.084Z,dccm_data_1600.bin,asp294his,Rep_4,0.7,0.7,27.90,6.50,60.0,302.27, 15716
2026-04-18T03:56:06.091Z,dccm_data_1600.bin,asp294his,Rep_4,0.9,0.9,27.90,7.10,60.0,288.58, 3274
2026-04-18T03:56:44.963Z,dccm_data_25.bin,asp294his,Rep_5,0.1,0.1,795.30,23073.40,0,2929.42, 25151804
2026-04-18T03:56:48.232Z,dccm_data_25.bin,asp294his,Rep_5,0.3,0.3,795.30,2316.00,21.5,2567.16, 6849982
2026-04-18T03:57:04.261Z,dccm_data_25.bin,asp294his,Rep_5,0.5,0.5,795.30,800.10,48.0,1572.68, 1944058
2026-04-18T03:57:19.664Z,dccm_data_25.bin,asp294his,Rep_5,0.7,0.7,795.30,400.90,58.7,1308.53, 761562
2026-04-18T03:57:34.889Z,dccm_data_25.bin,asp294his,Rep_5,0.9,0.9,795.30,213.60,59.3,1241.74, 159432
2026-04-18T03:58:00.362Z,dccm_data_50.bin,asp294his,Rep_5,0.1,0.1,431.90,10034.20,23.5,1849.02, 12093796
2026-04-18T03:58:06.132Z,dccm_data_50.bin,asp294his,Rep_5,0.3,0.3,431.90,999.40,45.0,1781.91, 3148298
2026-04-18T03:58:21.531Z,dccm_data_50.bin,asp294his,Rep_5,0.5,0.5,431.90,398.30,58.6,912.17, 978332
2026-04-18T03:58:36.762Z,dccm_data_50.bin,asp294his,Rep_5,0.7,0.7,431.90,223.80,59.3,739.74, 406580
2026-04-18T03:58:51.869Z,dccm_data_50.bin,asp294his,Rep_5,0.9,0.9,431.90,106.80,59.7,745.85, 82344
2026-04-18T03:59:12.835Z,dccm_data_100.bin,asp294his,Rep_5,0.1,0.1,276.20,5685.00,30.3,1140.83, 6035184
2026-04-18T03:59:22.465Z,dccm_data_100.bin,asp294his,Rep_5,0.3,0.3,276.20,514.20,54.2,1075.77, 1623470
2026-04-18T03:59:37.641Z,dccm_data_100.bin,asp294his,Rep_5,0.5,0.5,276.20,175.30,59.4,630.79, 522288
2026-04-18T03:59:52.741Z,dccm_data_100.bin,asp294his,Rep_5,0.7,0.7,276.20,100.10,59.7,531.50, 222298
2026-04-18T04:00:07.806Z,dccm_data_100.bin,asp294his,Rep_5,0.9,0.9,276.20,64.30,59.9,479.50, 44144
2026-04-18T04:00:26.574Z,dccm_data_200.bin,asp294his,Rep_5,0.1,0.1,122.60,3641.70,47.9,699.62, 3028748
2026-04-18T04:00:38.075Z,dccm_data_200.bin,asp294his,Rep_5,0.3,0.3,122.60,264.80,59.0,660.79, 845506
