timestamp,filename,simulation,replica,pos_threshold,neg_threshold,load_time_ms,render_time_ms,avg_fps,memory_heap_mb,visible_points
2026-04-17T19:24:18.660Z,dccm_data_25.bin,asp294his,Rep_1,0.35,0.35,143.40,7463.90,24.4,1642.21, 4935054
2026-04-17T19:24:31.851Z,dccm_data_25.bin,asp294his,Rep_1,0.5,0.5,143.40,689.00,39.1,1513.70, 1947178
2026-04-17T19:24:52.206Z,dccm_data_25.bin,asp294his,Rep_1,0.75,0.75,143.40,303.40,58.0,1316.62, 600626
2026-04-17T19:25:16.681Z,dccm_data_50.bin,asp294his,Rep_1,0.35,0.35,84.80,4381.50,33.5,902.23, 2381720
2026-04-17T19:25:32.543Z,dccm_data_50.bin,asp294his,Rep_1,0.5,0.5,84.80,326.20,52.4,885.48, 995898
2026-04-17T19:25:52.745Z,dccm_data_50.bin,asp294his,Rep_1,0.75,0.75,84.80,162.00,59.3,770.18, 322700
2026-04-17T19:26:15.727Z,dccm_data_100.bin,asp294his,Rep_1,0.35,0.35,55.20,2922.40,43.1,624.52, 1291592
2026-04-17T19:26:32.961Z,dccm_data_100.bin,asp294his,Rep_1,0.5,0.5,55.20,173.90,58.7,599.84, 555396
2026-04-17T19:26:53.050Z,dccm_data_100.bin,asp294his,Rep_1,0.75,0.75,55.20,88.70,59.8,524.89, 177916
2026-04-17T19:27:15.259Z,dccm_data_200.bin,asp294his,Rep_1,0.35,0.35,55.90,2147.60,56.9,442.80, 681432
2026-04-17T19:27:33.146Z,dccm_data_200.bin,asp294his,Rep_1,0.5,0.5,55.90,90.40,59.8,447.91, 297326
2026-04-17T19:27:53.195Z,dccm_data_200.bin,asp294his,Rep_1,0.75,0.75,55.90,48.80,59.9,395.71, 96750
2026-04-17T19:28:15.021Z,dccm_data_400.bin,asp294his,Rep_1,0.35,0.35,58.20,1764.20,57.0,411.38, 390638
2026-04-17T19:28:33.257Z,dccm_data_400.bin,asp294his,Rep_1,0.5,0.5,58.20,58.00,59.9,365.61, 170146
2026-04-17T19:28:53.286Z,dccm_data_400.bin,asp294his,Rep_1,0.75,0.75,58.20,28.90,60.0,348.59, 53872
2026-04-17T19:29:14.955Z,dccm_data_800.bin,asp294his,Rep_1,0.35,0.35,36.70,1630.10,57.4,340.56, 208152
2026-04-17T19:29:33.320Z,dccm_data_800.bin,asp294his,Rep_1,0.5,0.5,36.70,31.60,60.0,325.55, 94076
2026-04-17T19:29:53.335Z,dccm_data_800.bin,asp294his,Rep_1,0.75,0.75,36.70,14.60,60.0,292.61, 28876
2026-04-17T19:30:14.912Z,dccm_data_1600.bin,asp294his,Rep_1,0.35,0.35,14.10,1559.90,57.5,325.52, 140210
2026-04-17T19:30:33.361Z,dccm_data_1600.bin,asp294his,Rep_1,0.5,0.5,14.10,22.60,60.0,294.46, 62242
2026-04-17T19:30:53.372Z,dccm_data_1600.bin,asp294his,Rep_1,0.75,0.75,14.10,11.00,60.0,310.20, 18824
2026-04-17T19:31:20.762Z,dccm_data_25.bin,asp294his,Rep_2,0.35,0.35,300.50,7087.40,43.3,1647.83, 4313638
2026-04-17T19:31:34.027Z,dccm_data_25.bin,asp294his,Rep_2,0.5,0.5,300.50,571.20,49.6,1408.61, 1665524
2026-04-17T19:31:54.302Z,dccm_data_25.bin,asp294his,Rep_2,0.75,0.75,300.50,275.10,59.2,1437.23, 503154
2026-04-17T19:32:18.711Z,dccm_data_50.bin,asp294his,Rep_2,0.35,0.35,302.40,4100.80,53.0,851.42, 1961360
2026-04-17T19:32:34.578Z,dccm_data_50.bin,asp294his,Rep_2,0.5,0.5,302.40,269.70,58.4,888.11, 825260
2026-04-17T19:32:54.731Z,dccm_data_50.bin,asp294his,Rep_2,0.75,0.75,302.40,146.90,59.0,776.84, 262580
2026-04-17T19:33:17.687Z,dccm_data_100.bin,asp294his,Rep_2,0.35,0.35,235.00,2716.50,55.2,619.96, 972796
2026-04-17T19:33:34.877Z,dccm_data_100.bin,asp294his,Rep_2,0.5,0.5,235.00,141.80,59.6,576.32, 424974
2026-04-17T19:33:54.956Z,dccm_data_100.bin,asp294his,Rep_2,0.75,0.75,235.00,78.70,59.8,529.30, 139498
2026-04-17T19:34:17.216Z,dccm_data_200.bin,asp294his,Rep_2,0.35,0.35,167.80,2089.10,57.1,445.81, 521724
2026-04-17T19:34:35.039Z,dccm_data_200.bin,asp294his,Rep_2,0.5,0.5,167.80,79.50,59.8,436.82, 231836
2026-04-17T19:34:55.086Z,dccm_data_200.bin,asp294his,Rep_2,0.75,0.75,167.80,46.50,60.0,383.83, 75060
2026-04-17T19:35:16.912Z,dccm_data_400.bin,asp294his,Rep_2,0.35,0.35,46.80,1776.00,56.6,370.27, 282728
2026-04-17T19:35:35.136Z,dccm_data_400.bin,asp294his,Rep_2,0.5,0.5,46.80,46.80,60.0,352.82, 129562
2026-04-17T19:35:55.165Z,dccm_data_400.bin,asp294his,Rep_2,0.75,0.75,46.80,28.20,60.0,341.75, 40856
2026-04-17T19:36:16.791Z,dccm_data_800.bin,asp294his,Rep_2,0.35,0.35,25.00,1598.40,57.3,332.07, 152478
2026-04-17T19:36:35.194Z,dccm_data_800.bin,asp294his,Rep_2,0.5,0.5,25.00,27.00,60.0,313.08, 72572
2026-04-17T19:36:55.210Z,dccm_data_800.bin,asp294his,Rep_2,0.75,0.75,25.00,15.00,60.0,299.56, 22290
2026-04-17T19:37:16.697Z,dccm_data_1600.bin,asp294his,Rep_2,0.35,0.35,9.30,1475.60,57.6,327.67, 93680
2026-04-17T19:37:35.234Z,dccm_data_1600.bin,asp294his,Rep_2,0.5,0.5,9.30,21.00,60.0,289.41, 44494
2026-04-17T19:37:55.243Z,dccm_data_1600.bin,asp294his,Rep_2,0.75,0.75,9.30,8.50,60.0,299.86, 13690
2026-04-17T19:38:23.123Z,dccm_data_25.bin,asp294his,Rep_3,0.35,0.35,282.70,7596.00,40.9,1564.19, 5104544
2026-04-17T19:38:35.904Z,dccm_data_25.bin,asp294his,Rep_3,0.5,0.5,282.70,659.20,51.8,1576.80, 2003042
2026-04-17T19:38:56.240Z,dccm_data_25.bin,asp294his,Rep_3,0.75,0.75,282.70,330.50,59.1,1296.47, 590698
2026-04-17T19:39:21.116Z,dccm_data_50.bin,asp294his,Rep_3,0.35,0.35,502.40,4368.00,50.3,923.68, 2383540
